Passenger_count,Trip_distance,Fare_amount,Tip_amount,Total_amount
1,0.88,5.5,0,6.8
1,0.97,6,0,7.3
1,4.2,15.5,0,16.8
1,2.02,10,2.26,13.56
1,1.48,7,1.66,9.96
1,0,7.5,0,8.8
1,1.87,8.5,0,9.8
1,4.13,15.5,0,16.8
1,4.19,16,3.46,20.76
1,3.22,14,3.06,18.36
2,5.27,20.5,0,21.8
3,2.99,12.5,0,13.8
1,1.29,7,0,8.3
1,2.97,12.5,0,13.8
1,2.79,11,0,12.3
1,4.39,15,3.26,19.56
1,0.26,3,0,4.3
1,2.24,10.5,4,15.8
1,2.81,12,0,13.3
1,1.87,9,0,10.3
1,3.39,13.5,2.5,17.3
6,0.37,3.5,1.2,6
1,1.9,9.5,2.16,12.96
1,3.22,12,3.99,17.29
1,2.48,11,2.46,14.76
1,0.56,4,0,5.3
4,0.72,4.5,4,9.8
1,3.31,13,1,15.3
5,1.62,8,2.79,12.09
1,0.99,5.5,1.36,8.16
2,1.37,8.5,0,9.8
1,4.19,13,0,14.3
1,3.84,14,0,15.3
1,4.34,14,0,15.3
3,3.45,13,0,14.3
2,5.48,18.5,0,19.8
1,2.47,11.5,0,12.8
1,10.11,29.5,6.16,36.96
1,4.47,17,0,18.3
3,5.73,21,4.46,26.76
1,2.39,11,0,12.3
1,2.82,12,0,13.3
1,1.2,6.5,2.34,10.14
1,6.13,25.5,6.7,33.5
1,1.34,7,0,8.3
1,6.39,25,2,28.3
1,2.61,13,2.86,17.16
1,1.36,7.5,0,8.8
1,1.72,7.5,0,8.8
1,2.23,9,0,10.3
